,epoch,loss,energy_mean,energy_std,CI,proposal_width,acceptance_rate,walltime
0,0,-0.1085729897022247,2.165003776550293,0.4302039444446563,2.4256264678949213,0.7197421789169312,0.513671875,0.3287143999477848
1,1,-0.05457748472690582,2.1055948734283447,0.29234370589256287,2.4256264678949213,0.665964663028717,0.508056640625,0.350906900013797
2,2,-0.09433622658252716,2.1450607776641846,0.389437198638916,2.4256264678949213,0.7085132598876953,0.496826171875,0.13747000007424504
3,3,-0.08526651561260223,2.136162281036377,0.3586508333683014,2.4256264678949213,0.7270750403404236,0.504638671875,0.14152900001499802
4,4,-0.08023440092802048,2.127767562866211,0.3451937437057495,2.4256264678949213,0.7102029919624329,0.483154296875,0.12653100001625717
5,5,-0.09728243947029114,2.144864320755005,0.3860103189945221,2.4256264678949213,0.7258216142654419,0.5068359375,0.12111069995444268
6,6,-0.08504216372966766,2.1345696449279785,0.351237028837204,2.4256264678949213,0.7191029191017151,0.509765625,0.11878760007675737
7,7,-0.09503348171710968,2.1358373165130615,0.3592856228351593,2.4256264678949213,0.7162142992019653,0.49462890625,0.1463711999822408
8,8,-0.10849003493785858,2.148449659347534,0.3921101689338684,2.4256264678949213,0.7283190488815308,0.501953125,0.1627763999858871
9,9,-0.12279456853866577,2.1484341621398926,0.398483544588089,2.4256264678949213,0.7142149209976196,0.50537109375,0.1401211000047624
10,10,-0.11006945371627808,2.1486525535583496,0.3933981955051422,2.4256264678949213,0.7268180847167969,0.504638671875,0.13996629999019206
11,11,-0.10742154717445374,2.1463170051574707,0.3763256072998047,2.4256264678949213,0.7240500450134277,0.50341796875,0.12398189993109554
12,12,-0.13461345434188843,2.160038948059082,0.4145975708961487,2.4256264678949213,0.723382294178009,0.50341796875,0.1213524000486359
13,13,-0.1190999299287796,2.142393112182617,0.37377962470054626,2.4256264678949213,0.7076951861381531,0.497802734375,0.13153239991515875
14,14,-0.10890942811965942,2.1371312141418457,0.3581142723560333,2.4256264678949213,0.7045742273330688,0.47998046875,0.11713309993501753
15,15,-0.1265559047460556,2.144442558288574,0.37548327445983887,2.4256264678949213,0.7353175282478333,0.505859375,0.13967219996266067
16,16,-0.11380787193775177,2.137404441833496,0.3601490259170532,2.4256264678949213,0.7018291354179382,0.484619140625,0.22941420006100088
17,17,-0.11625663936138153,2.139075756072998,0.35577845573425293,2.4256264678949213,0.7327063083648682,0.497802734375,0.21796529996208847
18,18,-0.12010262906551361,2.1342248916625977,0.3476254343986511,2.4256264678949213,0.7274832129478455,0.504150390625,0.1408925000578165
19,19,-0.1280447095632553,2.14589524269104,0.37245073914527893,2.4256264678949213,0.7114901542663574,0.510009765625,0.14604709995910525
20,20,-0.1418900042772293,2.1504509449005127,0.3905732035636902,2.4256264678949213,0.7365081906318665,0.504638671875,0.13552709994837642
21,21,-0.1328028440475464,2.1485366821289062,0.37134236097335815,2.4256264678949213,0.7439382672309875,0.503662109375,0.12672629998996854
22,22,-0.12283292412757874,2.1324477195739746,0.3455842137336731,2.4256264678949213,0.7307661771774292,0.49951171875,0.1278300000121817
23,23,-0.14386534690856934,2.1479897499084473,0.38314881920814514,2.4256264678949213,0.7472614645957947,0.499267578125,0.1314464999595657
24,24,-0.11661803722381592,2.1303224563598633,0.3301391005516052,2.4256264678949213,0.7309395670890808,0.503173828125,0.12694549991283566
25,25,-0.1444467008113861,2.1392040252685547,0.3570477068424225,2.4256264678949213,0.7257305979728699,0.497314453125,0.14288300008047372
26,26,-0.15588614344596863,2.155273675918579,0.39316344261169434,2.4256264678949213,0.7384242415428162,0.50146484375,0.134507599985227
27,27,-0.14642247557640076,2.14272403717041,0.3622148633003235,2.4256264678949213,0.736028254032135,0.498291015625,0.12624859996140003
28,28,-0.15393242239952087,2.1390762329101562,0.3552851676940918,2.4256264678949213,0.7278696298599243,0.498291015625,0.12015239999163896
29,29,-0.15580739080905914,2.144594192504883,0.3646031618118286,2.4256264678949213,0.7166579961776733,0.505859375,0.14956239995080978
30,30,-0.1529681384563446,2.1381125450134277,0.34411945939064026,2.4256264678949213,0.7263701558113098,0.486083984375,0.1353813000023365
31,31,-0.15180158615112305,2.1417722702026367,0.35183262825012207,2.4256264678949213,0.7530706524848938,0.489013671875,0.12428139999974519
32,32,-0.16488322615623474,2.1583852767944336,0.3891803026199341,2.4256264678949213,0.7371950745582581,0.501953125,0.12407119991257787
33,33,-0.16397559642791748,2.149681568145752,0.37610486149787903,2.4256264678949213,0.7331919074058533,0.489501953125,0.12578959995880723
34,34,-0.15963776409626007,2.1483945846557617,0.37237465381622314,2.4256264678949213,0.7284935116767883,0.51123046875,0.12889509997330606
35,35,-0.16606326401233673,2.1592397689819336,0.3926398456096649,2.4256264678949213,0.7276811003684998,0.495361328125,0.12456699996255338
36,36,-0.16228047013282776,2.157412052154541,0.38810673356056213,2.4256264678949213,0.7287889122962952,0.5,0.1262155999429524
37,37,-0.20118391513824463,2.1805238723754883,0.44371068477630615,2.4256264678949213,0.7526054978370667,0.514892578125,0.12577639997471124
38,38,-0.1680135279893875,2.150747299194336,0.3845769464969635,2.4256264678949213,0.7100905776023865,0.49462890625,0.13919160002842546
39,39,-0.14539295434951782,2.14652156829834,0.35355904698371887,2.4256264678949213,0.727673351764679,0.509033203125,0.13537469995208085
40,40,-0.17719978094100952,2.152733325958252,0.3792121410369873,2.4256264678949213,0.7179107069969177,0.498779296875,0.13287440000567585
41,41,-0.1626219004392624,2.148498296737671,0.3776150047779083,2.4256264678949213,0.6962725520133972,0.501953125,0.12565219996031374
